iter	MAE
0	8.416165059
1	8.236461818
2	8.063340848
3	7.893736073
4	7.73025627
5	7.576036114
6	7.422975607
7	7.277561846
8	7.132707979
9	6.996465142
10	6.862071665
11	6.731533097
12	6.606850223
13	6.488591697
14	6.373350874
15	6.259873439
16	6.150609312
17	6.044512066
18	5.94266058
19	5.844278747
20	5.747721334
21	5.654863077
22	5.565260205
23	5.477567182
24	5.392944804
25	5.311374941
26	5.231712158
27	5.155769679
28	5.082912536
29	5.011698367
30	4.942136252
31	4.875139063
32	4.811494557
33	4.749226992
34	4.689488364
35	4.630944209
36	4.575447687
37	4.520843944
38	4.468820463
39	4.418741956
40	4.370350636
41	4.323440818
42	4.278134719
43	4.235818788
44	4.194600354
45	4.153449604
46	4.114324785
47	4.076098742
48	4.039021861
49	4.004220773
50	3.97012071
51	3.936730107
52	3.904412702
53	3.873817855
54	3.844771056
55	3.81623799
56	3.788755509
57	3.762330189
58	3.735947839
59	3.711561711
60	3.688596402
61	3.665262131
62	3.643594023
63	3.623712337
64	3.60310054
65	3.583907243
66	3.56611889
67	3.548211488
68	3.531049751
69	3.514263061
70	3.498099136
71	3.48222631
72	3.467415426
73	3.453021249
74	3.439159786
75	3.425687548
76	3.413201007
77	3.400804055
78	3.389403249
79	3.378186193
80	3.367348824
81	3.356964317
82	3.347325246
83	3.337806207
84	3.328351582
85	3.319307796
86	3.310774867
87	3.302069493
88	3.293947333
89	3.28589611
90	3.277815186
91	3.270778397
92	3.263442509
93	3.256043972
94	3.249408667
95	3.243002525
96	3.237122685
97	3.231379212
98	3.225987271
99	3.22042768
100	3.214906042
101	3.209448075
102	3.204536271
103	3.199651993
104	3.194918788
105	3.190726844
106	3.186569654
107	3.182172156
108	3.177957298
109	3.17423396
110	3.170411901
111	3.166866959
112	3.163616836
113	3.160241353
114	3.156736616
115	3.153536999
116	3.150817778
117	3.148275709
118	3.145772568
119	3.14332439
120	3.141043272
121	3.138562939
122	3.136097965
123	3.133804571
124	3.131759415
125	3.129547392
126	3.127512859
127	3.125662609
128	3.123984826
129	3.122235239
130	3.120736672
131	3.118868363
132	3.117309164
133	3.115721593
134	3.114125348
135	3.112716283
136	3.111122127
137	3.109703534
138	3.108070897
139	3.106823262
140	3.105360848
141	3.104270231
142	3.103111163
143	3.101779826
144	3.100716123
145	3.099630978
146	3.098617896
147	3.097522972
148	3.096576963
149	3.095544072
150	3.094637391
151	3.093663804
152	3.092686531
153	3.09188375
154	3.090976559
155	3.08995861
156	3.089063403
157	3.088338203
158	3.087369129
159	3.086715201
160	3.08581284
161	3.085035187
162	3.084306951
163	3.083505903
164	3.082671748
165	3.081919038
166	3.081376909
167	3.08055107
168	3.07991552
169	3.079206415
170	3.078681035
171	3.078173844
172	3.077652228
173	3.077031641
174	3.076519823
175	3.075847727
176	3.075423715
177	3.07492767
178	3.074248083
179	3.07376087
180	3.073204576
181	3.072703069
182	3.072228631
183	3.071793299
184	3.071334482
185	3.071021751
186	3.070658856
187	3.070202439
188	3.069773177
189	3.069470061
190	3.069110263
191	3.068797443
192	3.068295365
193	3.067870381
194	3.067487463
195	3.067190923
196	3.066924364
197	3.066576694
198	3.066317736
199	3.066108141
200	3.065772917
201	3.06542843
202	3.06520285
203	3.06493411
204	3.064708528
205	3.064408147
206	3.064141093
207	3.063906627
208	3.06370847
209	3.063514904
210	3.063290429
211	3.06310979
212	3.062814781
213	3.062703605
214	3.062479519
215	3.06225506
216	3.062036129
217	3.061897574
218	3.06160385
219	3.061272987
220	3.060971754
221	3.060706251
222	3.060537417
223	3.060258286
224	3.060068869
225	3.059961866
226	3.059843483
227	3.05960361
228	3.059476175
229	3.059310501
230	3.059126082
231	3.058968977
232	3.05887817
233	3.058639424
234	3.058544895
235	3.058298213
236	3.058109942
237	3.057952823
238	3.057732836
239	3.057595308
240	3.057463647
241	3.057253975
242	3.057037634
243	3.056921052
244	3.056800286
245	3.056527958
246	3.056405395
247	3.056237415
248	3.056074465
249	3.055921697
250	3.055832074
251	3.055748419
252	3.055482938
253	3.055381654
254	3.0553174
255	3.055079079
256	3.054952959
257	3.054732031
258	3.054537228
259	3.054387116
260	3.05426242
261	3.054120738
262	3.054024151
263	3.053891881
264	3.05374247
265	3.05364479
266	3.053566945
267	3.053503537
268	3.053414926
269	3.053298022
270	3.053138788
271	3.053010819
272	3.052911343
273	3.052866068
274	3.052795152
275	3.052740913
276	3.052693478
277	3.052648439
278	3.05246603
279	3.052409123
280	3.05234068
281	3.052286899
282	3.052188613
283	3.052082681
284	3.051805528
285	3.051698881
286	3.051617845
287	3.051516743
288	3.051308764
289	3.051252792
290	3.051078562
291	3.050907714
292	3.050845471
293	3.050745921
294	3.050664003
295	3.050611528
296	3.050419471
297	3.050345914
298	3.05024966
299	3.050093751
