week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,audio_amp_mean_sum_10_17_t-7,audio_amp_std_sum_10_17_t-7,audio_convo_duration_sum_10_17_t-7,audio_convo_num_sum_10_17_t-7,audio_voice_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,audio_amp_mean_sum_10_17_t-6,audio_amp_std_sum_10_17_t-6,audio_convo_duration_sum_10_17_t-6,audio_convo_num_sum_10_17_t-6,audio_voice_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,audio_amp_mean_sum_10_17_t-5,audio_amp_std_sum_10_17_t-5,audio_convo_duration_sum_10_17_t-5,audio_convo_num_sum_10_17_t-5,audio_voice_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,audio_amp_mean_sum_10_17_t-4,audio_amp_std_sum_10_17_t-4,audio_convo_duration_sum_10_17_t-4,audio_convo_num_sum_10_17_t-4,audio_voice_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,audio_amp_mean_sum_10_17_t-3,audio_amp_std_sum_10_17_t-3,audio_convo_duration_sum_10_17_t-3,audio_convo_num_sum_10_17_t-3,audio_voice_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,audio_amp_mean_sum_10_17_t-2,audio_amp_std_sum_10_17_t-2,audio_convo_duration_sum_10_17_t-2,audio_convo_num_sum_10_17_t-2,audio_voice_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,audio_amp_mean_sum_10_17_t-1,audio_amp_std_sum_10_17_t-1,audio_convo_duration_sum_10_17_t-1,audio_convo_num_sum_10_17_t-1,audio_voice_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,audio_amp_mean_sum_10_17_t-0,audio_amp_std_sum_10_17_t-0,audio_convo_duration_sum_10_17_t-0,audio_convo_num_sum_10_17_t-0,audio_voice_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,audio_amp_mean_sum_10_17_mean,audio_amp_std_sum_10_17_mean,audio_convo_duration_sum_10_17_mean,audio_convo_num_sum_10_17_mean,audio_voice_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,audio_amp_mean_sum_10_17_std,audio_amp_std_sum_10_17_std,audio_convo_duration_sum_10_17_std,audio_convo_num_sum_10_17_std,audio_voice_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,audio_amp_mean_sum_10_17_skew,audio_amp_std_sum_10_17_skew,audio_convo_duration_sum_10_17_skew,audio_convo_num_sum_10_17_skew,audio_voice_sum_10_17_skew,target
4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,20795.8570548,18287.220869479,310.0,2.0,0.453366172,6.0,1.0,1.0,2.0,2853.7227232,3112.10402629,0.0,0.0,0.0,7.0,1.0,1.0,2.0,11054.660616,10728.87334401,170.0,1.0,0.197986577,1.0,0.0,1.0,2.0,1980.3474436,1175.023750231,0.0,0.0,0.0,2.0,0.0,1.0,2.0,5141.3437335,7875.930939707,140.0,1.0,0.132850242,3.0,0.0,1.0,2.0,24456.4719695,27598.127032092,300.0,2.0,0.586939734,4.0,0.0,1.0,2.0,9702.8822969,17977.273295908,0.0,0.0,0.061099024,4.0,0.25,1.0,2.0,9498.1607296875,10844.319157214624,115.0,0.75,0.179030218625,2.0,0.4629100498862757,0.0,0.0,8973.903473242442,9759.041505767174,135.64659966250537,0.8864052604279183,0.22494619865330023,0.0,1.4401645996461911,0.0,0.0,0.826273041092683,0.575891272211798,0.5986967629581615,0.6153557179830177,1.1642337189001497,-5.0
7.0,1.0,0.0,4.0,67848.1508572,45944.87021704,2624.0,10.0,1.567452071,1.0,0.0,0.0,4.0,69772.8173109,49086.93531998,2929.0,4.0,0.797924748,2.0,0.0,0.0,4.0,64845.105313600005,53648.8432896,2869.0,8.0,1.786585728,3.0,0.0,0.0,4.0,27250.9472115,27645.6227916,290.0,2.0,0.3038773899999999,4.0,0.0,0.0,4.0,11694.1046862,8427.952700900001,0.0,0.0,0.025423729,5.0,0.0,0.0,4.0,85565.45538900001,53469.36616799999,530.0,4.0,1.603512238,6.0,1.0,0.0,4.0,123306.82376,71161.816069,8062.0,7.0,3.144008691,7.0,1.0,0.0,4.0,10202.428114,6682.6863569,170.0,1.0,0.195286195,4.375,0.375,0.0,4.0,57560.72908030001,39508.51161412749,2184.25,4.5,1.1780088487499998,2.2638462845343543,0.5175491695067657,0.0,0.0,39060.540419039025,23034.82801829195,2697.0284573952868,3.5456210417116734,1.053633601168987,-0.22624995586066124,0.6440611887195306,0.0,0.0,0.25216871817690234,-0.44658221529833503,1.689076770669305,0.3204977697828217,0.7747052232305184,-13.0
3.0,0.0,0.0,4.0,27250.9472115,27645.6227916,290.0,2.0,0.3038773899999999,4.0,0.0,0.0,4.0,11694.1046862,8427.952700900001,0.0,0.0,0.025423729,5.0,0.0,0.0,4.0,85565.45538900001,53469.36616799999,530.0,4.0,1.603512238,6.0,1.0,0.0,4.0,123306.82376,71161.816069,8062.0,7.0,3.144008691,7.0,1.0,0.0,4.0,10202.428114,6682.6863569,170.0,1.0,0.195286195,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,7009.544273,9072.4464265,0.0,0.0,0.004237288,3.0,0.0,0.0,4.0,62605.16904189999,45521.86499894,1259.0,6.0,2.029611732,3.875,0.25,0.0,4.0,40954.30905945,27747.71943898,1288.875,2.5,0.913244657875,2.03100960115899,0.4629100498862757,0.0,0.0,44817.045779556734,26180.713546107152,2769.3535830328965,2.8284271247461903,1.1972815622299295,0.2238027108715141,1.4401645996461911,0.0,0.0,1.0430330314116867,0.6371112435270402,2.7035636815517265,0.7323605948003529,1.1111756942199837,4.0
2.0,0.0,0.0,4.0,36312.329283,39529.441667152,320.0,2.0,0.841461045,3.0,0.0,0.0,4.0,27166.929199700004,24612.2224527,2988.0,4.0,0.830567576,4.0,0.0,0.0,4.0,47077.042134,38891.102249,814.0,7.0,1.218244816,5.0,0.0,0.0,4.0,66264.504639,43227.59643,1582.0,4.0,1.091629818,6.0,1.0,0.0,4.0,66201.7983864,38969.270471,2700.0,2.0,1.378492647,7.0,1.0,0.0,4.0,18742.8670734,25813.0158158,210.0,2.0,0.103117506,1.0,0.0,0.0,4.0,36018.386689,31351.013259100004,767.0,1.0,0.781785698,2.0,0.0,0.0,4.0,62389.71300819999,36713.4577787,2136.0,4.0,1.30833831,3.75,0.25,0.0,4.0,45021.6963015875,34888.390015431505,1439.625,3.25,0.944204677,2.1213203435596424,0.4629100498862757,0.0,0.0,18408.105019670635,6840.665776636764,1075.7447835270755,1.9086270308410553,0.40975754366819167,0.31426968052735443,1.4401645996461911,0.0,0.0,-0.027328556272702323,-0.6300444172416156,0.3432042651111973,1.006780579128769,-1.2399714529140726,3.0
5.0,0.0,0.0,4.0,66264.504639,43227.59643,1582.0,4.0,1.091629818,6.0,1.0,0.0,4.0,66201.7983864,38969.270471,2700.0,2.0,1.378492647,7.0,1.0,0.0,4.0,18742.8670734,25813.0158158,210.0,2.0,0.103117506,1.0,0.0,0.0,4.0,36018.386689,31351.013259100004,767.0,1.0,0.781785698,2.0,0.0,0.0,4.0,62389.71300819999,36713.4577787,2136.0,4.0,1.30833831,3.0,0.0,0.0,4.0,27927.2386071,27474.5825095,0.0,0.0,0.137632283,4.0,0.0,0.0,4.0,25994.285006,15513.055142,290.0,3.0,0.313284088,5.0,0.0,0.0,4.0,55100.950606000006,46412.8970847,1587.0,8.0,1.414288155,4.125,0.25,0.0,4.0,44829.9680018875,33184.36106135,1159.0,3.0,0.8160710631250001,2.03100960115899,0.4629100498862757,0.0,0.0,19743.70872011961,10172.47660116655,988.7965268085095,2.449489742783178,0.5625190255024762,-0.2238027108715141,1.4401645996461911,0.0,0.0,-0.09507487851286542,-0.4606398706601236,0.31879401506514715,1.1664236870396085,-0.28851479380023515,0.0
3.0,0.0,0.0,4.0,80799.58284029999,44754.0187682,3867.0,3.0,1.433878659,4.0,0.0,0.0,4.0,41786.774777,31627.423962,1942.0,1.0,0.663375693,5.0,0.0,0.0,4.0,31942.010541,20412.7264236,2125.0,2.0,0.475704816,6.0,1.0,0.0,4.0,8894.309189,10656.9361098,0.0,0.0,0.0,7.0,1.0,0.0,4.0,52199.747741,27514.0373174,2202.0,3.0,0.90034257,1.0,0.0,0.0,4.0,53750.374391000005,36188.88347,440.0,3.0,0.679238588,2.0,0.0,0.0,4.0,81691.69219230002,56384.4677429,4408.0,7.0,1.886229102,3.0,0.0,0.0,4.0,91247.405187,73372.990781,1839.0,5.0,1.0999016410000002,3.875,0.25,0.0,4.0,55288.987107325,37613.9355718625,2102.875,3.0,0.8923338836250001,2.03100960115899,0.4629100498862757,0.0,0.0,28113.720803571687,20158.16796927723,1498.5135909102917,2.2038926600773587,0.5845533043922049,0.2238027108715141,1.4401645996461911,0.0,0.0,-0.28786479804273063,0.6226486462984997,0.2162312512916214,0.6405777973927271,0.32902503724492255,-7.0
1.0,0.0,0.0,4.0,166718.57692999998,95032.254918,2403.0,5.0,1.0947393440000002,2.0,0.0,0.0,4.0,101665.733492,51597.81848399999,160.0,1.0,0.43347339,3.0,0.0,0.0,1.0,166196.04652899998,143953.752339,3496.0,6.0,1.17400067,4.0,0.0,0.0,1.0,262275.416037,140588.277161,3005.0,5.0,1.377199387,5.0,0.0,0.0,1.0,106583.553183,113578.762288,0.0,0.0,0.1559856839999999,6.0,1.0,0.0,1.0,159211.61602000002,57985.897032,80.0,1.0,0.117279633,7.0,1.0,1.0,1.0,261529.780973,145312.087373,4892.0,6.0,2.273558285,1.0,0.0,1.0,1.0,121120.654824,78519.550128,2811.0,3.0,0.996806179,3.625,0.25,0.25,1.75,168162.6722485,103321.049965375,2105.875,3.375,0.9528803215,2.2638462845343543,0.4629100498862757,0.4629100498862757,1.3887301496588271,63344.277160409496,38401.484148375086,1828.9012655924632,2.445841952609133,0.7169616206855153,0.22624995586066124,1.4401645996461911,1.4401645996461911,1.4401645996461911,0.760739761715029,-0.1796556444766019,0.012327480454336669,-0.26728274187389983,0.601614684577971,-6.0
4.0,0.0,0.0,1.0,262275.416037,140588.277161,3005.0,5.0,1.377199387,5.0,0.0,0.0,1.0,106583.553183,113578.762288,0.0,0.0,0.1559856839999999,6.0,1.0,0.0,1.0,159211.61602000002,57985.897032,80.0,1.0,0.117279633,7.0,1.0,1.0,1.0,261529.780973,145312.087373,4892.0,6.0,2.273558285,1.0,0.0,1.0,1.0,121120.654824,78519.550128,2811.0,3.0,0.996806179,2.0,0.0,1.0,1.0,57941.513999,49097.479963000005,1791.0,4.0,1.010475047,3.0,0.0,1.0,1.0,78613.606016,78584.713291,3149.0,8.0,0.770219431,4.0,0.0,1.0,1.0,66411.256286,48272.7319981,770.0,6.0,0.390821651,4.0,0.25,0.625,1.0,139210.92466725002,88992.43740426251,2062.25,4.125,0.886543162125,2.0,0.4629100498862757,0.5175491695067657,0.0,82353.89346863986,39402.01353932739,1713.9591385361055,2.6958963523950885,0.7148249696027182,0.0,1.4401645996461911,-0.6440611887195306,0.0,0.8580795070598264,0.5223563753385289,0.2444988222356405,-0.2925549374318837,0.9497255613154526,3.0
5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.125,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.03100960115899,0.4629100498862757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0
5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.125,0.25,0.0,1.25,0.0,0.0,0.0,0.0,0.0,2.03100960115899,0.4629100498862757,0.0,0.4629100498862757,0.0,0.0,0.0,0.0,0.0,-0.2238027108715141,1.4401645996461911,0.0,1.4401645996461911,0.0,0.0,0.0,0.0,0.0,10.0
